Contractor Employee Name,Contractor Employee E-mail,"NMCI Account Status (active, inactive, deleted)",Badged (Yes/No)
DELEON BRITNEY T,,,No
DELEON CAMERON A,,,No
DELEON CARLIE S,,,No
DELEON CHAYA P,,,No
DELEON IYANA D,,,No
DELEON MAX J,,,Yes
DELGADO CAROLINE W,,,No
DELGADO CYRUS B,,,No
DELGADO JABARI U,,,No
DELGADO JULIO J,,,No
DELGADO PIERRE N,,,No
DENNIS ALAYNA O,,,No
DENNIS BROOKS I,,,No
DENNIS ELIAN I,,,Yes
DENNIS ELISHA A,,,No
DENNIS EMILIA Z,,,Yes
DENNIS JAIDA R,JAIDA.R.DENNIS.TEST@US.NAVY.MIL,Active,Yes
DENNIS JERAMIAH B,,,No
DENNIS THOMAS P,,,No
DIAZ JAELYNN F,JAELYNN.F.DIAZ.TEST@US.NAVY.MIL,Deleted,No
DIAZ JAVION U,,,No
DIAZ LOUIS D,,,No
DIAZ TRISTA F,TRISTA.F.DIAZ.TEST@US.NAVY.MIL,,Yes
DIAZ YADIRA Z,,Active,No
DICKERSON CECILIA O,,,No
DICKERSON JAYLEN P,,,No
DICKERSON JOHAN T,,,No
DICKERSON KAREN D,,,Yes
DICKERSON MADISON J,,,No
DICKSON DEVAN T,,,No
DICKSON EMELY U,EMELY.U.DICKSON.TEST@US.NAVY.MIL,Deleted,No
DICKSON FRANCISCO W,,,Yes
DICKSON KONNER V,,,Yes
DICKSON SHAYNA K,,,Yes
DICKSON WILL C,,,No
DILLON BLAISE T,,,No
DILLON BRETT Z,,,No
DILLON CANNON E,,,No
DILLON HEIDI E,,Active,No
DILLON JOEY G,,,No
DILLON MIYA Y III,MIYA.Y.DILLON.TEST@US.NAVY.MIL,Deleted,Yes
DILLON PHOENIX B,PHOENIX.B.DILLON.TEST@US.NAVY.MIL,Active,No
DILLON QUINN D,QUINN.D.DILLON.TEST@US.NAVY.MIL,Active,No
DIXON BECKETT Y,BECKETT.Y.DIXON.TEST@US.NAVY.MIL,Active,No
DIXON COLTEN E,,,No
DIXON ISMAEL U,ISMAEL.U.DIXON.TEST@US.NAVY.MIL,Active,No
DIXON JUAN R,JUAN.R.DIXON.TEST@US.NAVY.MIL,Active,No
DIXON KAEDEN K,KAEDEN.K.DIXON.TEST@US.NAVY.MIL,Active,No
DIXON WAYLON S,WAYLON.S.DIXON.TEST@US.NAVY.MIL,Active,Yes
DODSON ABDULLAH N,ABDULLAH.N.DODSON.TEST@US.NAVY.MIL,Active,No
DODSON ETHAN V,,,No
DODSON HADEN P,HADEN.P.DODSON.TEST@US.NAVY.MIL,Active,No
DODSON LYRIC V,,,No
DODSON PERRY V,,,No
DOG ROUND A,,,No
DOMINGUEZ FREDRICK A,FREDRICK.A.DOMINGUEZ.TEST@US.NAVY.MIL,Active,Yes
DOMINGUEZ GIOVANNY H,,,No
DOMINGUEZ KAILEE U,,,No
DOMINGUEZ MALLORY L,MALLORY.L.DOMINGUEZ.TEST@US.NAVY.MIL,Active,Yes
DOMINGUEZ SAMANTHA N,SAMANTHA.N.DOMINGUEZ.TEST@US.NAVY.MIL,Active,No
DOMINGUEZ SIDNEY B,SIDNEY.B.DOMINGUEZ.TEST@US.NAVY.MIL,Active,Yes
DONALDSON CAMRYN C,,,No
DONALDSON IRENE X,IRENE.X.DONALDSON.TEST@US.NAVY.MIL,Active,No
DONALDSON JADYN W,,,Yes
DONOVAN AIMEE G,,,No
DONOVAN ALESSANDRA X,ALESSANDRA.X.DONOVAN.TEST@US.NAVY.MIL,Active,Yes
DONOVAN ANDREW J,ANDREW.J.DONOVAN.TEST@US.NAVY.MIL,Active,Yes
DONOVAN BRAEDON D,,,No
DONOVAN CLARISSA J,,Active,Yes
DONOVAN CLAUDIA C,CLAUDIA.C.DONOVAN.TEST@US.NAVY.MIL,Active,No
DONOVAN MIYA I,,,No
DONOVAN NICKOLAS E,NICKOLAS.E.DONOVAN.TEST@US.NAVY.MIL,Active,Yes
DONOVAN TY N,,Active,Yes
DONOVAN WINSTON X,WINSTON.X.DONOVAN.TEST@US.NAVY.MIL,Active,Yes
DONOVAN XANDER J,,,No
DORSEY AYANNA A,,,No
DORSEY CORINNE C,CORINNE.C.DORSEY.TEST@US.NAVY.MIL,Deleted,No
DORSEY ILIANA I,ILIANA.I.DORSEY.TEST@US.NAVY.MIL,,No
DORSEY RENEE P,,,Yes
DOUGHERTY FERNANDA O,FERNANDA.O.DOUGHERTY.TEST@US.NAVY.MIL,Active,Yes
DOUGHERTY KARL T,,,No
DOUGHERTY NYASIA X,,,No
DOUGHERTY RAFAEL R,,,No
DOUGHERTY RODERICK O,,Deleted,Yes
DOUGLAS KALIYAH N,,,No
DOUGLAS MELANIE E,,,No
DOUGLAS SIMEON Q JR,,,No
DOWNS ARACELY H,,,No
DOWNS ARELI E,ARELI.E.DOWNS.TEST@US.NAVY.MIL,,No
DOWNS BENNETT X,BENNETT.X.DOWNS.TEST@US.NAVY.MIL,Active,No
DOWNS DECLAN H,,Deleted,No
DOWNS ELISABETH S,,Deleted,Yes
DOWNS HAILEE C,,,No
DOWNS KYLA G,,,No
DOWNS LARA R,,,No
DOWNS LAYTON W,LAYTON.W.DOWNS.TEST@US.NAVY.MIL,Active,Yes
DOWNS MARISA U,MARISA.U.DOWNS.TEST@US.NAVY.MIL,,Yes
DOYLE ALEXA B III,,Active,Yes
DOYLE AUBREY A,,,No
DOYLE DAYANA B III,,,Yes
DOYLE ELLIE E,,,No
DOYLE ETHAN W,,,No
DOYLE KELTON O,KELTON.O.DOYLE.TEST@US.NAVY.MIL,Active,Yes
DOYLE LUKE H,LUKE.H.DOYLE.TEST@US.NAVY.MIL,Active,Yes
DOYLE MIYA U,MIYA.U.DOYLE.TEST@US.NAVY.MIL,Deleted,Yes
DOYLE RHIANNON Y II,,,No
DOYLE SAMUEL N,,,No
DRAKE ALBERTO K,ALBERTO.K.DRAKE.TEST@US.NAVY.MIL,Active,Yes
DRAKE CHRISTIANA C,,,No
DRAKE COLIN R,,,No
DRAKE SAWYER H,,,No
DRAKE SKYLAR N,SKYLAR.N.DRAKE.TEST@US.NAVY.MIL,Active,Yes
DUARTE GRIFFIN R,,,Yes
DUARTE JADYN N,JADYN.N.DUARTE.TEST@US.NAVY.MIL,,Yes
DUARTE KESHAWN X,KESHAWN.X.DUARTE.TEST@US.NAVY.MIL,Deleted,Yes
DUARTE KONNER H,,,No
DUARTE ROGELIO I,,,No
DUARTE SAVANAH T,,,No
DUDLEY CAEL M,,,No
DUDLEY EARL T,EARL.T.DUDLEY.TEST@US.NAVY.MIL,Active,Yes
DUDLEY EZEQUIEL L,EZEQUIEL.L.DUDLEY.TEST@US.NAVY.MIL,Active,Yes
DUDLEY GEORGIA R,GEORGIA.R.DUDLEY.TEST@US.NAVY.MIL,Deleted,Yes
DUDLEY JULIANA I,,,No
DUDLEY SADIE Q,,,No
DUFFY CELESTE J,,,Yes
DUFFY CYRUS S,,,No
DUFFY LACEY F,LACEY.F.DUFFY.TEST@US.NAVY.MIL,Active,Yes
DUFFY LANDEN R,,,No
DUFFY MAVERICK J,,,No
DUFFY SABRINA J,,,No
DUKE ADONIS I,,,No
DUKE CARLIE T,,,No
DUKE CATALINA F,,,Yes
DUKE CRYSTAL U,CRYSTAL.U.DUKE.TEST@US.NAVY.MIL,Active,Yes
DUKE SARAH O,SARAH.O.DUKE.TEST@US.NAVY.MIL,Active,Yes
DUNCAN DAMIAN O,,,No
DUNCAN ERICA F,,,No
DUNCAN HAMZA Y,HAMZA.Y.DUNCAN.TEST@US.NAVY.MIL,Active,Yes
DUNCAN JASE M,,Deleted,Yes
DUNCAN KARLA C,,Active,No
DUNCAN MARLON D,,,No
DUNLAP APRIL N,APRIL.N.DUNLAP.TEST@US.NAVY.MIL,Active,Yes
DUNLAP BLAISE K,,,No
DUNLAP ISABELA F,,Deleted,No
DUNLAP KATELYNN G,,,No
DUNLAP PAIGE K,,,No
DUNLAP REBECCA I,REBECCA.I.DUNLAP.TEST@US.NAVY.MIL,,Yes
DUNN ALDO Y,,,No
DUNN ANGELO A,,,No
DUNN CHAIM V,,,No
DUNN CITLALI V,CITLALI.V.DUNN.TEST@US.NAVY.MIL,Active,Yes
DUNN OWEN H,OWEN.H.DUNN.TEST@US.NAVY.MIL,Deleted,Yes
DURAN ALDO M,ALDO.M.DURAN.TEST@US.NAVY.MIL,Active,No
DURAN DELANEY P,DELANEY.P.DURAN.TEST@US.NAVY.MIL,Deleted,Yes
DURAN DEVYN G III,DEVYN.G.DURAN.TEST@US.NAVY.MIL,Active,Yes
DURAN GREGORY Q,,,Yes
DURAN HAILEE I,HAILEE.I.DURAN.TEST@US.NAVY.MIL,Active,Yes
DURAN HARLEY Y,,,No
DURAN MARISSA J,,,Yes
DURAN MARQUIS I,,Deleted,Yes
DURAN ROGER N,,,No
DURHAM KIERSTEN Y,,,No
DURHAM NESTOR D,NESTOR.D.DURHAM.TEST@US.NAVY.MIL,Active,Yes
DURHAM TIFFANY X,TIFFANY.X.DURHAM.TEST@US.NAVY.MIL,Active,Yes
DYER KARL M IV,,,No
DYER KAYLEIGH A JR,,,No
DYER KINSLEY F,,,No
DYER MARIANA L,,,No
DYER TIANNA X,TIANNA.X.DYER.TEST@US.NAVY.MIL,Active,No
EATON ALISA W,ALISA.W.EATON.TEST@US.NAVY.MIL,Active,No
EATON BEATRIZ J,BEATRIZ.J.EATON.TEST@US.NAVY.MIL,Active,Yes
EATON BRYLEE G,BRYLEE.G.EATON.TEST@US.NAVY.MIL,Active,Yes
EATON CINDY P,CINDY.P.EATON.TEST@US.NAVY.MIL,Active,No
EATON DARRELL L,,,No
EATON EMILEE X,,Deleted,No
EATON JACLYN H,,,No
EATON SINCERE Q,,,No
EDWARDS BRENNAN X,BRENNAN.X.EDWARDS.TEST@US.NAVY.MIL,Active,No
EDWARDS CHRISTIANA B,,,Yes
EDWARDS EMILIA L,EMILIA.L.EDWARDS.TEST@US.NAVY.MIL,Deleted,No
EDWARDS JOEY Q,JOEY.Q.EDWARDS.TEST@US.NAVY.MIL,,Yes
EDWARDS JOSEF U III,,,Yes
EDWARDS KINSLEY L,,,No
EDWARDS LYNDSEY W,,,No
EDWARDS MARIN P,,,No
EDWARDS MARISA A,,,No
EDWARDS ROSE V II,,,Yes
EDWARDS SADIE X,,,No
ELLIOTT CARINA E,,,No
ELLIOTT GRACIE L,GRACIE.L.ELLIOTT.TEST@US.NAVY.MIL,Active,Yes
ELLIOTT SERGIO D,,,Yes
ELLIS ANNIE T,ANNIE.T.ELLIS.TEST@US.NAVY.MIL,Active,Yes
ELLIS CADENCE B,,,No
ELLIS ENRIQUE D,,,No
ELLIS GIANA M,GIANA.M.ELLIS.TEST@US.NAVY.MIL,Active,No
ELLIS HARLEY Q,HARLEY.Q.ELLIS.TEST@US.NAVY.MIL,Active,Yes
ELLIS KAITLYN S,,,No
ELLIS RAMON W,,Deleted,No
ELLIS ROBERT P,,,No
ELLIS RONALDO F,,,No
ELLISON JON X,,,No
ELLISON JORGE V,,Deleted,Yes
ELLISON MATEO X,,,No
ELLISON NELSON Y,NELSON.Y.ELLISON.TEST@US.NAVY.MIL,Active,No
ELLISON WHITNEY Y,,,No
ENGLISH ANGELO L,ANGELO.L.ENGLISH.TEST@US.NAVY.MIL,Active,Yes
ENGLISH BEATRICE F JR,,,Yes
ENGLISH GRIFFIN Y,,,No
ENGLISH KAYLAH E,,,No
ENGLISH VICENTE Z,,,No
ERICKSON ADDISON L,ADDISON.L.ERICKSON.TEST@US.NAVY.MIL,Active,Yes
ERICKSON ASA G,ASA.G.ERICKSON.TEST@US.NAVY.MIL,,No
ERICKSON BIANCA D,,,No
ERICKSON EZEKIEL P,EZEKIEL.P.ERICKSON.TEST@US.NAVY.MIL,Active,No
ERICKSON NATHANIEL H,,,No
ESCOBAR DEVYN S,,,No
ESCOBAR KAMRYN V,KAMRYN.V.ESCOBAR.TEST@US.NAVY.MIL,Active,Yes
ESCOBAR MORGAN A,MORGAN.A.ESCOBAR.TEST@US.NAVY.MIL,,Yes
ESCOBAR SEMAJ C JR,,,No
ESCOBAR SHANIYA Y,SHANIYA.Y.ESCOBAR.TEST@US.NAVY.MIL,Active,Yes
ESCOBAR TYLER E,TYLER.E.ESCOBAR.TEST@US.NAVY.MIL,Active,No
ESPARZA ANITA N,ANITA.N.ESPARZA.TEST@US.NAVY.MIL,Active,No
ESPARZA ASHANTI N,,Deleted,No
ESPARZA FREDDY V,FREDDY.V.ESPARZA.TEST@US.NAVY.MIL,Active,Yes
ESPARZA IZABELLA L,,,Yes
ESPARZA MALIYAH J,,,Yes
ESPARZA MONICA T,MONICA.T.ESPARZA.TEST@US.NAVY.MIL,Active,Yes
ESPINOZA CARRIE E,,,No
ESPINOZA DONAVAN Y,DONAVAN.Y.ESPINOZA.TEST@US.NAVY.MIL,Active,No
ESPINOZA GRAHAM K,,,No
ESPINOZA HELEN W,,,Yes
ESPINOZA HUGO V II,,,No
ESPINOZA JARED N,,,No
ESPINOZA MADELINE D,,,Yes
ESPINOZA OMAR O,,,No
ESPINOZA SANTOS Y,,,No
ESPINOZA SARAHI S,,,No
ESTES ADEN S,,,No
ESTES AUBREE L,AUBREE.L.ESTES.TEST@US.NAVY.MIL,Deleted,Yes
ESTES KENDALL Q,KENDALL.Q.ESTES.TEST@US.NAVY.MIL,Active,No
ESTES MALLORY A,,,No
ESTES RAY F,,,Yes
ESTES ROBYN I,,,No
ESTES WILLIE Q,WILLIE.Q.ESTES.TEST@US.NAVY.MIL,Active,No
ESTES ZACKERY U,,,No
ESTRADA AIMEE H,,,No
ESTRADA DILLON Y,,,No
ESTRADA ISIS K,ISIS.K.ESTRADA.TEST@US.NAVY.MIL,,Yes
ESTRADA JAIDEN Y,,,Yes
ESTRADA RYLIE G,,,No
ESTRADA ZANDER B,,,No
EVANS DION F,,,No
EVANS EASTON D,,,No
EVANS EMMETT E,EMMETT.E.EVANS.TEST@US.NAVY.MIL,Active,Yes
EVANS ISIS D,ISIS.D.EVANS.TEST@US.NAVY.MIL,Active,Yes
EVANS JAXON E,,,Yes
EVANS KAYLA L,,,No
EVANS ROMAN L,ROMAN.L.EVANS.TEST@US.NAVY.MIL,Active,Yes
EVERETT BAYLEE D,,Active,Yes
EVERETT CAMILLE U,,,Yes
EVERETT ESTRELLA R,ESTRELLA.R.EVERETT.TEST@US.NAVY.MIL,Active,Yes
EVERETT GAEL F,,,Yes
EVERETT JULIO P,,,Yes
EVERETT LEAH B,,,No
EVERETT SABRINA U,,,No
EVERETT VICENTE N JR,,,Yes
EWING BRYNN W,,,No
EWING DANIELLE Z,,,No
EWING HAMZA G,HAMZA.G.EWING.TEST@US.NAVY.MIL,Active,No
EWING IVAN I,,,No
FARLEY ARLENE O,,,Yes
FARLEY AVA H,AVA.H.FARLEY.TEST@US.NAVY.MIL,Active,Yes
FARLEY CAMPBELL Q,CAMPBELL.Q.FARLEY.TEST@US.NAVY.MIL,Active,No
FARLEY CONRAD L,,,No
FARLEY DANNY M,,,No
FARLEY DEANDRE P,DEANDRE.P.FARLEY.TEST@US.NAVY.MIL,,No
FARLEY DECLAN J,,,No
FARLEY HAILIE J,,,No
FARLEY SANIYAH M,SANIYAH.M.FARLEY.TEST@US.NAVY.MIL,Active,Yes
FARMER KOLE N,,,Yes
FARMER LIZBETH H,LIZBETH.H.FARMER.TEST@US.NAVY.MIL,Active,Yes
FARMER VERONICA S,VERONICA.S.FARMER.TEST@US.NAVY.MIL,Active,Yes
FARRELL CAITLYN O,,,No
FARRELL DAISY H,,,No
FARRELL JALIYAH P JR,,,No
FARRELL MARISA J,MARISA.J.FARRELL.TEST@US.NAVY.MIL,Active,No
FARRELL SHARON U,SHARON.U.FARRELL.TEST@US.NAVY.MIL,Active,Yes
FAULKNER ALEXANDRA Q JR,ALEXANDRA.Q.FAULKNER.TEST@US.NAVY.MIL,Active,Yes
FAULKNER DYLAN J,,,No
FAULKNER GERARDO F,,,No
FAULKNER LEON C,,,No
FAULKNER MAEVE X,,Deleted,Yes
FAULKNER MCKENNA I,,,No
FAULKNER MELVIN D,MELVIN.D.FAULKNER.TEST@US.NAVY.MIL,Active,No
FAULKNER PATRICK F,,,No
FAULKNER SAM D,,,No
FERGUSON BRADY O JR,,,No
FERGUSON BRIANNE H,,,No
FERGUSON ESTEBAN H,,,No
FERGUSON HELENA A,HELENA.A.FERGUSON.TEST@US.NAVY.MIL,Active,Yes
FERGUSON ISAAC C,,,No
FERGUSON KATELYN P,KATELYN.P.FERGUSON.TEST@US.NAVY.MIL,Active,Yes
FERGUSON ROSE N,,,Yes
FERNANDEZ DARRIUS N JR,DARRIUS.N.FERNANDEZ.TEST@US.NAVY.MIL,Active,Yes
FERNANDEZ LARRY C,,,No
FERNANDEZ REY D,,,No
FERNANDEZ RUSSELL X JR,RUSSELL.X.FERNANDEZ.TEST@US.NAVY.MIL,,Yes
FERNANDEZ ZARIAH L,,,No
FERRELL ISABELL L,,,No
FERRELL JULIA M,,,No
FERRELL LANEY B,LANEY.B.FERRELL.TEST@US.NAVY.MIL,Active,No
FERRELL LEILANI R,,,Yes
FERRELL ROWAN U,ROWAN.U.FERRELL.TEST@US.NAVY.MIL,Active,Yes
FIELDS FATIMA D,,,Yes
FIELDS JASMYN W,JASMYN.W.FIELDS.TEST@US.NAVY.MIL,Active,Yes
FIELDS KENDALL W,KENDALL.W.FIELDS.TEST@US.NAVY.MIL,Active,Yes
FIELDS LUCILLE Q,,,No
FIELDS ZAVIER T,,,No
FIGUEROA BAILEY E,BAILEY.E.FIGUEROA.TEST@US.NAVY.MIL,Active,Yes
FIGUEROA CLAIRE V,CLAIRE.V.FIGUEROA.TEST@US.NAVY.MIL,Active,Yes
FIGUEROA ELMER W,,,No
FIGUEROA JOSELYN P,JOSELYN.P.FIGUEROA.TEST@US.NAVY.MIL,Active,No
FIGUEROA NEHEMIAH E,NEHEMIAH.E.FIGUEROA.TEST@US.NAVY.MIL,Active,Yes
FIGUEROA RACHEL Q,RACHEL.Q.FIGUEROA.TEST@US.NAVY.MIL,Active,No
FIGUEROA TATUM V JR,,,No
FINLEY ABRAM Y,,,Yes
FINLEY HAMZA N,,,No
FINLEY JUSTINE O,,Active,No
FINLEY MADELEINE U,MADELEINE.U.FINLEY.TEST@US.NAVY.MIL,Active,Yes
FINLEY MATHIAS Z,,Deleted,No
FINLEY QUINN D,QUINN.D.FINLEY.TEST@US.NAVY.MIL,Active,Yes
FINLEY VAUGHN B,,,No
FINLEY WYATT F,,,No
FISCHER BEN P,BEN.P.FISCHER.TEST@US.NAVY.MIL,Active,No
FISCHER CARMEN D,CARMEN.D.FISCHER.TEST@US.NAVY.MIL,Deleted,Yes
FISCHER CHAZ Z,CHAZ.Z.FISCHER.TEST@US.NAVY.MIL,Active,Yes
FISCHER COLLEEN T,,,No
FISCHER ERIK X III,,,No
FISCHER FRANK F,FRANK.F.FISCHER.TEST@US.NAVY.MIL,Active,No
FISCHER KARISSA X,,,No
FISCHER MARSHALL M,,,No
FISHER AIMEE T,,,No
FISHER AUDREY N,AUDREY.N.FISHER.TEST@US.NAVY.MIL,Active,No
FISHER CHASE O,,,No
FISHER DAYANA Q,,Deleted,No
FISHER JAYCE M IV,,,No
FISHER KELLEN I,,Deleted,No
FISHER PARIS I,,,No
FISHER TONI Z,,Active,No
FISHER ZOEY V,ZOEY.V.FISHER.TEST@US.NAVY.MIL,Active,Yes
FITZGERALD AUSTIN Z,,,No
FITZGERALD KINSLEY T,,,No
FITZGERALD LUCAS V,,,No
FITZPATRICK ANA H,ANA.H.FITZPATRICK.TEST@US.NAVY.MIL,Active,No
FITZPATRICK ANGELINE G,ANGELINE.G.FITZPATRICK.TEST@US.NAVY.MIL,Active,No
FITZPATRICK BOBBY R,BOBBY.R.FITZPATRICK.TEST@US.NAVY.MIL,Active,Yes
FITZPATRICK BRENDA C,,,No
FITZPATRICK CAMERON Z,CAMERON.Z.FITZPATRICK.TEST@US.NAVY.MIL,,No
FITZPATRICK JAMEL Z,,,No
FLEMING BRENT C,BRENT.C.FLEMING.TEST@US.NAVY.MIL,Active,No
FLEMING CHASE O,,Active,Yes
FLEMING GUY P,GUY.P.FLEMING.TEST@US.NAVY.MIL,Active,Yes
FLEMING KEYON U,KEYON.U.FLEMING.TEST@US.NAVY.MIL,Active,No
FLEMING NOAH V,,,No
FLEMING RYLEE F,,,No
FLEMING YANDEL Q,,Active,No
FLETCHER ALDO M,ALDO.M.FLETCHER.TEST@US.NAVY.MIL,Active,No
FLETCHER DARWIN W,,,No
FLETCHER PAOLA N,PAOLA.N.FLETCHER.TEST@US.NAVY.MIL,Active,Yes
FLORES ADAN F,,,No
FLORES DAMIEN I,,,Yes
FLORES ELIANA N,ELIANA.N.FLORES.TEST@US.NAVY.MIL,Active,No
FLORES HUMBERTO D,,,No
FLORES MARLEY F,MARLEY.F.FLORES.TEST@US.NAVY.MIL,Active,No
FLOWERS ANDERSON J,,,No
FLOWERS CHEYENNE U,CHEYENNE.U.FLOWERS.TEST@US.NAVY.MIL,Active,Yes
FLOWERS CLAYTON U,CLAYTON.U.FLOWERS.TEST@US.NAVY.MIL,Active,Yes
FLOWERS EZEKIEL O,,Active,No
FLOWERS KAEDEN C III,,,No
FLOYD BAILEE X,,,No
FLOYD DARNELL W,,,No
FLOYD GABRIEL D,GABRIEL.D.FLOYD.TEST@US.NAVY.MIL,Active,Yes
FLOYD HAMZA S,HAMZA.S.FLOYD.TEST@US.NAVY.MIL,Active,Yes
FLOYD MAXWELL Z,,,No
FLYNN CHAD A,,,No
FLYNN DANIEL N,,,Yes
FLYNN MYLES Y,MYLES.Y.FLYNN.TEST@US.NAVY.MIL,Active,No
FLYNN RYANN B,RYANN.B.FLYNN.TEST@US.NAVY.MIL,,No
FLYNN TESSA L SR,,,No
FLYNN TODD M,TODD.M.FLYNN.TEST@US.NAVY.MIL,Deleted,Yes
FLYNN ZANE L,,,No
FOLEY ALANNA G,ALANNA.G.FOLEY.TEST@US.NAVY.MIL,Active,Yes
FOLEY ALI D,,Active,Yes
FOLEY BRIA A,BRIA.A.FOLEY.TEST@US.NAVY.MIL,Active,No
FOLEY DEVEN S,DEVEN.S.FOLEY.TEST@US.NAVY.MIL,Deleted,No
FOLEY JOAN T,JOAN.T.FOLEY.TEST@US.NAVY.MIL,Active,No
FOLEY MICHAELA Z,,Active,Yes
FOLEY SAVANNAH H,,,No
FORBES JAMARI K,,,No
FORBES JAQUAN J,,,No
FORBES KEEGAN E,KEEGAN.E.FORBES.TEST@US.NAVY.MIL,Active,No
FORBES NAYELI S,,,No
FORD GAIGE B,,,No
FORD GRACIE Y III,,,No
FORD KAYLEY H,KAYLEY.H.FORD.TEST@US.NAVY.MIL,Active,No
FORD KELSIE O,,,No
FORD KODY O,KODY.O.FORD.TEST@US.NAVY.MIL,Active,Yes
FORD MAVERICK F,MAVERICK.F.FORD.TEST@US.NAVY.MIL,Active,No
FOSTER DEVIN T,,,No
FOSTER HALLE N,,,No
FOSTER JANELLE A,,,No
FOSTER MAEVE J,,Deleted,Yes
FOSTER MIGUEL B,,,No
FOSTER RAY W,RAY.W.FOSTER.TEST@US.NAVY.MIL,Active,Yes
FOWLER ALFREDO Z,,Deleted,Yes
FOWLER CARLO E,,,No
FOWLER DEVIN Z,DEVIN.Z.FOWLER.TEST@US.NAVY.MIL,Active,Yes
FOWLER JOSEPHINE O JR,,,No
FOWLER KAMDEN P,,,No
FOWLER KELLEN U,,,No
FOWLER MADALYNN H,MADALYNN.H.FOWLER.TEST@US.NAVY.MIL,Active,No
FOWLER MCKENZIE J JR,,,No
FOWLER MICHELLE V,,,No
FOWLER OMARI Z,,,No
FOWLER STEPHON O,,,No
FOX DENISE G,,,No
FOX REYNA H,REYNA.H.FOX.TEST@US.NAVY.MIL,Active,No
FOX SARIAH F,,Deleted,No
FOX TIA L,TIA.L.FOX.TEST@US.NAVY.MIL,Active,Yes
FRANCIS FINNEGAN I,,,No
FRANCIS JAQUELINE T,,,No
FRANCIS LESLIE H,LESLIE.H.FRANCIS.TEST@US.NAVY.MIL,Active,Yes
FRANCIS MAIA N,MAIA.N.FRANCIS.TEST@US.NAVY.MIL,Active,No
FRANCIS OMARI X,,,No
FRANCO ANAYA K,,,Yes
FRANCO CARLIE H,,,No
FRANCO GAVIN G,,,No
FRANCO LANA N,LANA.N.FRANCO.TEST@US.NAVY.MIL,Active,Yes
FRANCO MANUEL E,,,No
FRANCO MARIANA I,,,No
FRANCO ZOIE Z,,,No
FRANK ALYSON L,ALYSON.L.FRANK.TEST@US.NAVY.MIL,Active,Yes
FRANK CHAIM M,CHAIM.M.FRANK.TEST@US.NAVY.MIL,Active,No
FRANK DASHAWN Q,,Deleted,No
FRANK DEVYN D,,,No
FRANK JAXSON N,,,No
FRANK LARISSA Z,,,No
FRANK OLIVER G,OLIVER.G.FRANK.TEST@US.NAVY.MIL,,No
FRANK RUBY U,,,No
FRANK SANDRA Y,,,Yes
FRANK VINCENZO L,VINCENZO.L.FRANK.TEST@US.NAVY.MIL,Active,No
FRANK ZOEY M,ZOEY.M.FRANK.TEST@US.NAVY.MIL,Active,Yes
FRANKLIN ALONDRA L,ALONDRA.L.FRANKLIN.TEST@US.NAVY.MIL,Active,Yes
FRANKLIN HEATH W,,,No
FRANKLIN ROGER P,ROGER.P.FRANKLIN.TEST@US.NAVY.MIL,Active,Yes
FRANKLIN SKYLER H,SKYLER.H.FRANKLIN.TEST@US.NAVY.MIL,Deleted,Yes
FRAZIER ALDO W JR,ALDO.W.FRAZIER.TEST@US.NAVY.MIL,Active,No
FRAZIER ALLAN I,,,No
FRAZIER ASHTYN B,,,No
FRAZIER ASPEN E,ASPEN.E.FRAZIER.TEST@US.NAVY.MIL,Active,Yes
FREDERICK ALLEN A II,ALLEN.A.FREDERICK.TEST@US.NAVY.MIL,,Yes
FREDERICK BLANCA D,BLANCA.D.FREDERICK.TEST@US.NAVY.MIL,Active,Yes
FREDERICK DANICA I,,,No
FREDERICK GONZALO N,,,No
FREDERICK MICHEAL B,,,No
FREDERICK ROLANDO T,,,Yes
FREDERICK THERESA K,THERESA.K.FREDERICK.TEST@US.NAVY.MIL,Active,No
FREDERICK YANDEL K,,,No
FREEMAN ALFRED J,ALFRED.J.FREEMAN.TEST@US.NAVY.MIL,Active,Yes
FREEMAN COLLIN E,COLLIN.E.FREEMAN.TEST@US.NAVY.MIL,Active,No
FREEMAN GREGORY M,GREGORY.M.FREEMAN.TEST@US.NAVY.MIL,Active,No
FREEMAN JOE T,,,No
FREEMAN MARQUISE L,,,No
FREEMAN PHOEBE N,PHOEBE.N.FREEMAN.TEST@US.NAVY.MIL,Deleted,Yes
FREEMAN ROBIN S,,,No
FREEMAN RONAN M,,,Yes
FREEMAN SANTOS X,,,No
FREEMAN SHAWN M,,,No
FRENCH BRETT F,,,Yes
FRENCH FATIMA C,,,No
FRENCH HAMZA J,,,No
FRENCH ISIAH G,ISIAH.G.FRENCH.TEST@US.NAVY.MIL,Active,Yes
FRENCH MADYSON M,MADYSON.M.FRENCH.TEST@US.NAVY.MIL,,Yes
FRENCH ROBYN H JR,ROBYN.H.FRENCH.TEST@US.NAVY.MIL,Active,Yes
FRENCH SKYLER R,SKYLER.R.FRENCH.TEST@US.NAVY.MIL,Active,Yes
FRENCH VIRGINIA H,VIRGINIA.H.FRENCH.TEST@US.NAVY.MIL,Active,Yes
FRENCH WILSON C,,Active,No
FREY ADRIENNE J,,,No
FREY ANYA C,,,No
FREY CELESTE G,,,Yes
FREY CHARITY D,CHARITY.D.FREY.TEST@US.NAVY.MIL,Deleted,No
FREY DENNIS A,,,No
FREY HANNA T,HANNA.T.FREY.TEST@US.NAVY.MIL,Active,Yes
FREY JADON H JR,,,No
